iter	Passed	Remaining
0	151	151061
1	155	77660
2	159	53155
3	164	40979
4	168	33496
5	172	28521
6	174	24806
7	177	21966
8	179	19762
9	181	18016
10	184	16579
11	186	15378
12	189	14358
13	191	13501
14	194	12748
15	197	12115
16	199	11543
17	201	11004
18	203	10487
19	204	10021
20	205	9600
21	207	9218
22	208	8867
23	210	8547
24	211	8255
25	213	7984
26	214	7731
27	217	7538
28	218	7326
29	220	7129
30	222	6949
31	225	6807
32	230	6753
33	233	6633
34	238	6562
35	241	6471
36	244	6354
37	246	6246
38	249	6139
39	251	6043
40	254	5950
41	257	5864
42	260	5801
43	263	5719
44	265	5625
45	266	5533
46	268	5443
47	270	5358
48	272	5282
49	274	5217
50	276	5150
51	278	5081
52	280	5020
53	283	4967
54	286	4919
55	289	4883
56	292	4835
57	295	4792
58	297	4747
59	301	4716
60	304	4681
61	306	4637
62	308	4592
63	312	4567
64	314	4529
65	317	4497
66	320	4459
67	321	4406
68	324	4378
69	328	4359
70	331	4340
71	335	4328
72	338	4293
73	340	4262
74	342	4223
75	346	4209
76	348	4176
77	350	4138
78	352	4105
79	353	4070
80	355	4035
81	357	4005
82	359	3971
83	362	3948
84	363	3915
85	365	3884
86	367	3852
87	368	3823
88	371	3801
89	373	3779
90	376	3760
91	380	3752
92	382	3730
93	384	3710
94	387	3693
95	389	3670
96	391	3647
97	393	3625
98	395	3601
99	397	3578
100	399	3557
101	400	3527
102	402	3505
103	404	3482
104	405	3459
105	407	3437
106	409	3416
107	411	3394
108	412	3374
109	414	3354
110	416	3338
111	418	3320
112	420	3301
113	422	3282
114	424	3267
115	426	3248
116	428	3231
117	430	3214
118	431	3195
119	433	3179
120	435	3164
121	438	3157
122	439	3135
123	441	3120
124	443	3105
125	445	3090
126	447	3074
127	448	3053
128	449	3038
129	451	3023
130	454	3014
131	456	3000
132	458	2988
133	460	2975
134	462	2961
135	464	2947
136	465	2933
137	467	2917
138	469	2905
139	471	2893
140	472	2881
141	474	2868
142	476	2856
143	478	2842
144	480	2830
145	481	2817
146	483	2805
147	485	2794
148	487	2782
